,Compound ID,InChIKey,SMILES,logS,logP,MW
294,C1951,NZFNXWQNBYZDAQ-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,-7.489053566,6.6905,407.035
295,C1952,CIMQMKORBAJNEC-UHFFFAOYSA-N,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,-7.487042507,6.4237,552.48
296,C1953,MOPIFNSMNXBREW-UHFFFAOYSA-N,CCCCCCCNc1c2ccccc2nc2ccccc12,-7.477457012,5.8433,292.418
297,C1954,CKHJPWQVLKHBIH-ZDSKVHJSSA-N,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,-7.466676129,7.122,702.888
298,C1955,NAPSCFZYZVSQHF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCN(C)C,-7.455306311,6.8095,297.562
299,C1956,ICQVNPHZLORXIG-UHFFFAOYSA-N,CC(C)N(CCCN1C(=O)C(c2ccc(Cl)cc2)CCc2ccccc21)C(C)C,-7.45159931,5.9769,412.995
300,C1957,BWYQRNCUKAFTOU-UHFFFAOYSA-N,Cl.Cl.Clc1ccc(Sc2cc(Cl)ccc2NCCCN2CCCC2)cc1.Clc1ccc(Sc2cc(Cl)ccc2NCCCN2CCCC2)cc1.O,-7.449836702,13.6463,853.662
301,C1958,IWXAZSAGYJHXPX-LYWFMZLMSA-N,C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,-7.430949347,8.4376,770.92
302,C55,QGDKRLQRLFUJPP-UHFFFAOYSA-N,Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,-7.4299998,6.6206,326.433
303,C56,CXKIGWXPPVZSQK-UHFFFAOYSA-N,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.4299998,6.6206,326.433
304,C57,UHCLFIWDCYOTOL-UHFFFAOYSA-N,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.4200001,7.274,360.878
305,C58,IUILSTHMSGDSHQ-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,-7.4200001,5.6275,267.324
306,C1959,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,-7.412287248,5.8465,314.462
307,C1960,VMPAHPDCSQOZIS-UHFFFAOYSA-N,CCCC(C)(C)c1nc2sc(C(C)(C)CCC)nc2s1,-7.402181683,5.9082,310.521
308,C1961,SBDHCUZETSWOAX-UHFFFAOYSA-N,CCCCCc1cc(O)cc2c1C1C=C(C)CCC1C(C)(C)O2,-7.400667813,5.7358,314.462
309,C1962,FJAQNRBDVKIIKK-LFLQOBSNSA-N,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,-7.39152981,5.4433,697.128
310,C59,PXAGFNRKXSYIHU-UHFFFAOYSA-N,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.3899999,5.9672,291.988
311,C60,IUTPYMGCWINGEY-UHFFFAOYSA-N,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.3899999,6.6206,326.433
312,C61,CKLLRBPBZLTGDJ-UHFFFAOYSA-N,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.3899999,7.274,360.878
313,C1963,KFXRYHOEBZEYSV-UHFFFAOYSA-N,C=CCNc1cnnc(N2CCN(CCC(c3ccccc3)(c3ccccc3)c3ccccc3)CC2)c1.Cl.Cl,-7.384698627,7.3011,562.576
314,C1964,BDCBHVZKPKPCIE-UHFFFAOYSA-N,Clc1ccc2c(c1)C1(OCC(CN3CCCCCC3)O1)c1ccccc1CO2.O=C(O)CC(O)(CC(=O)O)C(=O)O,-7.38141449,3.4143,592.034
315,C1965,XWNZVGDZWLLXSJ-UHFFFAOYSA-N,CC(C)(CO)CC(C)(C)c1nc2sc(C(C)(C)CC(C)(C)CO)nc2s1,-7.37525415,5.1252,398.626
316,C1966,XQDSMZHQEGMUCW-CYBPKNTASA-N,CN(C)CC/C=C1\c2cc(Cl)ccc2Sc2ccc(Br)cc21.Cl,-7.372240766,6.7525,431.217
